date,open,high,low,close,volume
2025-06-15 00:00:00,1.0961004163760195e-05,1.0961004163760195e-05,1.0961004163760195e-05,1.0961004163760195e-05,546516016.0407429
2025-06-16 00:00:00,1.1116565520254859e-05,1.1116565520254859e-05,1.1116565520254859e-05,1.1116565520254859e-05,628984880.2084527
2025-06-17 00:00:00,1.0661152896772813e-05,1.0661152896772813e-05,1.0661152896772813e-05,1.0661152896772813e-05,1082480534.7630873
2025-06-18 00:00:00,1.0154237525961547e-05,1.0154237525961547e-05,1.0154237525961547e-05,1.0154237525961547e-05,1266609352.585833
2025-06-19 00:00:00,1.0327661592732399e-05,1.0327661592732399e-05,1.0327661592732399e-05,1.0327661592732399e-05,774822300.2547158
2025-06-20 00:00:00,1.0298197849473909e-05,1.0298197849473909e-05,1.0298197849473909e-05,1.0298197849473909e-05,530874813.1555886
2025-06-21 00:00:00,9.851478073973027e-06,9.851478073973027e-06,9.851478073973027e-06,9.851478073973027e-06,779412126.2447332
2025-06-22 00:00:00,9.143264586380993e-06,9.143264586380993e-06,9.143264586380993e-06,9.143264586380993e-06,666131301.0907109
2025-06-23 00:00:00,8.863791331441683e-06,8.863791331441683e-06,8.863791331441683e-06,8.863791331441683e-06,1054412095.0321977
2025-06-24 00:00:00,9.94075593623245e-06,9.94075593623245e-06,9.94075593623245e-06,9.94075593623245e-06,1182108834.6217964
2025-06-25 00:00:00,1.0025341392375046e-05,1.0025341392375046e-05,1.0025341392375046e-05,1.0025341392375046e-05,847713344.3833264
2025-06-26 00:00:00,9.46411755877633e-06,9.46411755877633e-06,9.46411755877633e-06,9.46411755877633e-06,677467505.6830002
2025-06-27 00:00:00,9.13495576209457e-06,9.13495576209457e-06,9.13495576209457e-06,9.13495576209457e-06,642695801.9486177
2025-06-28 00:00:00,9.172258810289922e-06,9.172258810289922e-06,9.172258810289922e-06,9.172258810289922e-06,551775153.1023034
2025-06-29 00:00:00,9.555444766859263e-06,9.555444766859263e-06,9.555444766859263e-06,9.555444766859263e-06,336442618.3169985
2025-06-30 00:00:00,1.0412689646318546e-05,1.0412689646318546e-05,1.0412689646318546e-05,1.0412689646318546e-05,603604664.7719404
2025-07-01 00:00:00,9.738286021872767e-06,9.738286021872767e-06,9.738286021872767e-06,9.738286021872767e-06,773817673.1414704
2025-07-02 00:00:00,9.24106421549501e-06,9.24106421549501e-06,9.24106421549501e-06,9.24106421549501e-06,475991484.35305333
2025-07-03 00:00:00,1.0066690321856315e-05,1.0066690321856315e-05,1.0066690321856315e-05,1.0066690321856315e-05,892419321.9646407
2025-07-04 00:00:00,1.0116286990650775e-05,1.0116286990650775e-05,1.0116286990650775e-05,1.0116286990650775e-05,1141591800.2282467
2025-07-05 00:00:00,9.643063133346442e-06,9.643063133346442e-06,9.643063133346442e-06,9.643063133346442e-06,671604984.8091568
2025-07-06 00:00:00,9.70332457136702e-06,9.70332457136702e-06,9.70332457136702e-06,9.70332457136702e-06,401169015.8321942
2025-07-07 00:00:00,1.003742063353663e-05,1.003742063353663e-05,1.003742063353663e-05,1.003742063353663e-05,678184516.6281093
2025-07-08 00:00:00,9.89489107795835e-06,9.89489107795835e-06,9.89489107795835e-06,9.89489107795835e-06,655004038.6515658
2025-07-09 00:00:00,1.0204910486434257e-05,1.0204910486434257e-05,1.0204910486434257e-05,1.0204910486434257e-05,606869383.1037835
2025-07-10 00:00:00,1.1099197737267827e-05,1.1099197737267827e-05,1.1099197737267827e-05,1.1099197737267827e-05,1183136257.6627483
2025-07-11 00:00:00,1.2321213382618157e-05,1.2321213382618157e-05,1.2321213382618157e-05,1.2321213382618157e-05,4899050530.648859
2025-07-12 00:00:00,1.2377962289343682e-05,1.2377962289343682e-05,1.2377962289343682e-05,1.2377962289343682e-05,8225797713.09987
2025-07-13 00:00:00,1.2174852752712864e-05,1.2174852752712864e-05,1.2174852752712864e-05,1.2174852752712864e-05,3323820496.999498
2025-07-14 00:00:00,1.2287639887351017e-05,1.2287639887351017e-05,1.2287639887351017e-05,1.2287639887351017e-05,3608277072.6199627
2025-07-14 16:47:33,1.235066114037837e-05,1.235066114037837e-05,1.235066114037837e-05,1.235066114037837e-05,5914799928.405023
